DATE_KEY,FULL_DATE,DATE_NAME,DAY_OF_MONTH,DAY_NAME,DAY_NAME_SHORT,DAY_OF_WEEK_ISO,DAY_OF_YEAR,WEEK_OF_YEAR_ISO,WEEK_START_DATE,WEEK_END_DATE,MONTH_NUMBER,MONTH_NAME,MONTH_NAME_SHORT,MONTH_START_DATE,MONTH_END_DATE,DAYS_IN_MONTH,QUARTER_NUMBER,QUARTER_NAME,QUARTER_START_DATE,QUARTER_END_DATE,YEAR_NUMBER,YEAR_MONTH,YEAR_MONTH_NAME,YEAR_QUARTER,IS_WEEKDAY,IS_WEEKEND,IS_MONTH_START,IS_MONTH_END,IS_QUARTER_START,IS_QUARTER_END,IS_YEAR_START,IS_YEAR_END,IS_LEAP_YEAR
19900111,1990-01-11,"January 11, 1990",11,Thursday,Thu,4,11,2,1990-01-08,1990-01-14,1,January,Jan,1990-01-01,1990-01-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-01,1990 January,1990-Q1,Y,N,N,N,N,N,N,N,N
19900112,1990-01-12,"January 12, 1990",12,Friday,Fri,5,12,2,1990-01-08,1990-01-14,1,January,Jan,1990-01-01,1990-01-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-01,1990 January,1990-Q1,Y,N,N,N,N,N,N,N,N
19900113,1990-01-13,"January 13, 1990",13,Saturday,Sat,6,13,2,1990-01-08,1990-01-14,1,January,Jan,1990-01-01,1990-01-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-01,1990 January,1990-Q1,N,Y,N,N,N,N,N,N,N
19900114,1990-01-14,"January 14, 1990",14,Sunday,Sun,7,14,2,1990-01-08,1990-01-14,1,January,Jan,1990-01-01,1990-01-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-01,1990 January,1990-Q1,N,Y,N,N,N,N,N,N,N
19900115,1990-01-15,"January 15, 1990",15,Monday,Mon,1,15,3,1990-01-15,1990-01-21,1,January,Jan,1990-01-01,1990-01-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-01,1990 January,1990-Q1,Y,N,N,N,N,N,N,N,N
19900116,1990-01-16,"January 16, 1990",16,Tuesday,Tue,2,16,3,1990-01-15,1990-01-21,1,January,Jan,1990-01-01,1990-01-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-01,1990 January,1990-Q1,Y,N,N,N,N,N,N,N,N
19900117,1990-01-17,"January 17, 1990",17,Wednesday,Wed,3,17,3,1990-01-15,1990-01-21,1,January,Jan,1990-01-01,1990-01-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-01,1990 January,1990-Q1,Y,N,N,N,N,N,N,N,N
19900118,1990-01-18,"January 18, 1990",18,Thursday,Thu,4,18,3,1990-01-15,1990-01-21,1,January,Jan,1990-01-01,1990-01-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-01,1990 January,1990-Q1,Y,N,N,N,N,N,N,N,N
19900119,1990-01-19,"January 19, 1990",19,Friday,Fri,5,19,3,1990-01-15,1990-01-21,1,January,Jan,1990-01-01,1990-01-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-01,1990 January,1990-Q1,Y,N,N,N,N,N,N,N,N
19900120,1990-01-20,"January 20, 1990",20,Saturday,Sat,6,20,3,1990-01-15,1990-01-21,1,January,Jan,1990-01-01,1990-01-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-01,1990 January,1990-Q1,N,Y,N,N,N,N,N,N,N
19900121,1990-01-21,"January 21, 1990",21,Sunday,Sun,7,21,3,1990-01-15,1990-01-21,1,January,Jan,1990-01-01,1990-01-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-01,1990 January,1990-Q1,N,Y,N,N,N,N,N,N,N
19900122,1990-01-22,"January 22, 1990",22,Monday,Mon,1,22,4,1990-01-22,1990-01-28,1,January,Jan,1990-01-01,1990-01-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-01,1990 January,1990-Q1,Y,N,N,N,N,N,N,N,N
19900123,1990-01-23,"January 23, 1990",23,Tuesday,Tue,2,23,4,1990-01-22,1990-01-28,1,January,Jan,1990-01-01,1990-01-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-01,1990 January,1990-Q1,Y,N,N,N,N,N,N,N,N
19900124,1990-01-24,"January 24, 1990",24,Wednesday,Wed,3,24,4,1990-01-22,1990-01-28,1,January,Jan,1990-01-01,1990-01-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-01,1990 January,1990-Q1,Y,N,N,N,N,N,N,N,N
19900125,1990-01-25,"January 25, 1990",25,Thursday,Thu,4,25,4,1990-01-22,1990-01-28,1,January,Jan,1990-01-01,1990-01-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-01,1990 January,1990-Q1,Y,N,N,N,N,N,N,N,N
19900126,1990-01-26,"January 26, 1990",26,Friday,Fri,5,26,4,1990-01-22,1990-01-28,1,January,Jan,1990-01-01,1990-01-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-01,1990 January,1990-Q1,Y,N,N,N,N,N,N,N,N
19900127,1990-01-27,"January 27, 1990",27,Saturday,Sat,6,27,4,1990-01-22,1990-01-28,1,January,Jan,1990-01-01,1990-01-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-01,1990 January,1990-Q1,N,Y,N,N,N,N,N,N,N
19900128,1990-01-28,"January 28, 1990",28,Sunday,Sun,7,28,4,1990-01-22,1990-01-28,1,January,Jan,1990-01-01,1990-01-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-01,1990 January,1990-Q1,N,Y,N,N,N,N,N,N,N
19900129,1990-01-29,"January 29, 1990",29,Monday,Mon,1,29,5,1990-01-29,1990-02-04,1,January,Jan,1990-01-01,1990-01-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-01,1990 January,1990-Q1,Y,N,N,N,N,N,N,N,N
19900130,1990-01-30,"January 30, 1990",30,Tuesday,Tue,2,30,5,1990-01-29,1990-02-04,1,January,Jan,1990-01-01,1990-01-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-01,1990 January,1990-Q1,Y,N,N,N,N,N,N,N,N
19900131,1990-01-31,"January 31, 1990",31,Wednesday,Wed,3,31,5,1990-01-29,1990-02-04,1,January,Jan,1990-01-01,1990-01-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-01,1990 January,1990-Q1,Y,N,N,Y,N,N,N,N,N
19900201,1990-02-01,"February 01, 1990",1,Thursday,Thu,4,32,5,1990-01-29,1990-02-04,2,February,Feb,1990-02-01,1990-02-28,28,1,Q1,1990-01-01,1990-03-31,1990,1990-02,1990 February,1990-Q1,Y,N,Y,N,N,N,N,N,N
19900202,1990-02-02,"February 02, 1990",2,Friday,Fri,5,33,5,1990-01-29,1990-02-04,2,February,Feb,1990-02-01,1990-02-28,28,1,Q1,1990-01-01,1990-03-31,1990,1990-02,1990 February,1990-Q1,Y,N,N,N,N,N,N,N,N
19900203,1990-02-03,"February 03, 1990",3,Saturday,Sat,6,34,5,1990-01-29,1990-02-04,2,February,Feb,1990-02-01,1990-02-28,28,1,Q1,1990-01-01,1990-03-31,1990,1990-02,1990 February,1990-Q1,N,Y,N,N,N,N,N,N,N
19900204,1990-02-04,"February 04, 1990",4,Sunday,Sun,7,35,5,1990-01-29,1990-02-04,2,February,Feb,1990-02-01,1990-02-28,28,1,Q1,1990-01-01,1990-03-31,1990,1990-02,1990 February,1990-Q1,N,Y,N,N,N,N,N,N,N
19900205,1990-02-05,"February 05, 1990",5,Monday,Mon,1,36,6,1990-02-05,1990-02-11,2,February,Feb,1990-02-01,1990-02-28,28,1,Q1,1990-01-01,1990-03-31,1990,1990-02,1990 February,1990-Q1,Y,N,N,N,N,N,N,N,N
19900206,1990-02-06,"February 06, 1990",6,Tuesday,Tue,2,37,6,1990-02-05,1990-02-11,2,February,Feb,1990-02-01,1990-02-28,28,1,Q1,1990-01-01,1990-03-31,1990,1990-02,1990 February,1990-Q1,Y,N,N,N,N,N,N,N,N
19900207,1990-02-07,"February 07, 1990",7,Wednesday,Wed,3,38,6,1990-02-05,1990-02-11,2,February,Feb,1990-02-01,1990-02-28,28,1,Q1,1990-01-01,1990-03-31,1990,1990-02,1990 February,1990-Q1,Y,N,N,N,N,N,N,N,N
19900208,1990-02-08,"February 08, 1990",8,Thursday,Thu,4,39,6,1990-02-05,1990-02-11,2,February,Feb,1990-02-01,1990-02-28,28,1,Q1,1990-01-01,1990-03-31,1990,1990-02,1990 February,1990-Q1,Y,N,N,N,N,N,N,N,N
19900209,1990-02-09,"February 09, 1990",9,Friday,Fri,5,40,6,1990-02-05,1990-02-11,2,February,Feb,1990-02-01,1990-02-28,28,1,Q1,1990-01-01,1990-03-31,1990,1990-02,1990 February,1990-Q1,Y,N,N,N,N,N,N,N,N
19900210,1990-02-10,"February 10, 1990",10,Saturday,Sat,6,41,6,1990-02-05,1990-02-11,2,February,Feb,1990-02-01,1990-02-28,28,1,Q1,1990-01-01,1990-03-31,1990,1990-02,1990 February,1990-Q1,N,Y,N,N,N,N,N,N,N
19900211,1990-02-11,"February 11, 1990",11,Sunday,Sun,7,42,6,1990-02-05,1990-02-11,2,February,Feb,1990-02-01,1990-02-28,28,1,Q1,1990-01-01,1990-03-31,1990,1990-02,1990 February,1990-Q1,N,Y,N,N,N,N,N,N,N
19900212,1990-02-12,"February 12, 1990",12,Monday,Mon,1,43,7,1990-02-12,1990-02-18,2,February,Feb,1990-02-01,1990-02-28,28,1,Q1,1990-01-01,1990-03-31,1990,1990-02,1990 February,1990-Q1,Y,N,N,N,N,N,N,N,N
19900213,1990-02-13,"February 13, 1990",13,Tuesday,Tue,2,44,7,1990-02-12,1990-02-18,2,February,Feb,1990-02-01,1990-02-28,28,1,Q1,1990-01-01,1990-03-31,1990,1990-02,1990 February,1990-Q1,Y,N,N,N,N,N,N,N,N
19900214,1990-02-14,"February 14, 1990",14,Wednesday,Wed,3,45,7,1990-02-12,1990-02-18,2,February,Feb,1990-02-01,1990-02-28,28,1,Q1,1990-01-01,1990-03-31,1990,1990-02,1990 February,1990-Q1,Y,N,N,N,N,N,N,N,N
19900215,1990-02-15,"February 15, 1990",15,Thursday,Thu,4,46,7,1990-02-12,1990-02-18,2,February,Feb,1990-02-01,1990-02-28,28,1,Q1,1990-01-01,1990-03-31,1990,1990-02,1990 February,1990-Q1,Y,N,N,N,N,N,N,N,N
19900216,1990-02-16,"February 16, 1990",16,Friday,Fri,5,47,7,1990-02-12,1990-02-18,2,February,Feb,1990-02-01,1990-02-28,28,1,Q1,1990-01-01,1990-03-31,1990,1990-02,1990 February,1990-Q1,Y,N,N,N,N,N,N,N,N
19900217,1990-02-17,"February 17, 1990",17,Saturday,Sat,6,48,7,1990-02-12,1990-02-18,2,February,Feb,1990-02-01,1990-02-28,28,1,Q1,1990-01-01,1990-03-31,1990,1990-02,1990 February,1990-Q1,N,Y,N,N,N,N,N,N,N
19900218,1990-02-18,"February 18, 1990",18,Sunday,Sun,7,49,7,1990-02-12,1990-02-18,2,February,Feb,1990-02-01,1990-02-28,28,1,Q1,1990-01-01,1990-03-31,1990,1990-02,1990 February,1990-Q1,N,Y,N,N,N,N,N,N,N
19900219,1990-02-19,"February 19, 1990",19,Monday,Mon,1,50,8,1990-02-19,1990-02-25,2,February,Feb,1990-02-01,1990-02-28,28,1,Q1,1990-01-01,1990-03-31,1990,1990-02,1990 February,1990-Q1,Y,N,N,N,N,N,N,N,N
19900220,1990-02-20,"February 20, 1990",20,Tuesday,Tue,2,51,8,1990-02-19,1990-02-25,2,February,Feb,1990-02-01,1990-02-28,28,1,Q1,1990-01-01,1990-03-31,1990,1990-02,1990 February,1990-Q1,Y,N,N,N,N,N,N,N,N
19900221,1990-02-21,"February 21, 1990",21,Wednesday,Wed,3,52,8,1990-02-19,1990-02-25,2,February,Feb,1990-02-01,1990-02-28,28,1,Q1,1990-01-01,1990-03-31,1990,1990-02,1990 February,1990-Q1,Y,N,N,N,N,N,N,N,N
19900222,1990-02-22,"February 22, 1990",22,Thursday,Thu,4,53,8,1990-02-19,1990-02-25,2,February,Feb,1990-02-01,1990-02-28,28,1,Q1,1990-01-01,1990-03-31,1990,1990-02,1990 February,1990-Q1,Y,N,N,N,N,N,N,N,N
19900223,1990-02-23,"February 23, 1990",23,Friday,Fri,5,54,8,1990-02-19,1990-02-25,2,February,Feb,1990-02-01,1990-02-28,28,1,Q1,1990-01-01,1990-03-31,1990,1990-02,1990 February,1990-Q1,Y,N,N,N,N,N,N,N,N
19900224,1990-02-24,"February 24, 1990",24,Saturday,Sat,6,55,8,1990-02-19,1990-02-25,2,February,Feb,1990-02-01,1990-02-28,28,1,Q1,1990-01-01,1990-03-31,1990,1990-02,1990 February,1990-Q1,N,Y,N,N,N,N,N,N,N
19900225,1990-02-25,"February 25, 1990",25,Sunday,Sun,7,56,8,1990-02-19,1990-02-25,2,February,Feb,1990-02-01,1990-02-28,28,1,Q1,1990-01-01,1990-03-31,1990,1990-02,1990 February,1990-Q1,N,Y,N,N,N,N,N,N,N
19900226,1990-02-26,"February 26, 1990",26,Monday,Mon,1,57,9,1990-02-26,1990-03-04,2,February,Feb,1990-02-01,1990-02-28,28,1,Q1,1990-01-01,1990-03-31,1990,1990-02,1990 February,1990-Q1,Y,N,N,N,N,N,N,N,N
19900227,1990-02-27,"February 27, 1990",27,Tuesday,Tue,2,58,9,1990-02-26,1990-03-04,2,February,Feb,1990-02-01,1990-02-28,28,1,Q1,1990-01-01,1990-03-31,1990,1990-02,1990 February,1990-Q1,Y,N,N,N,N,N,N,N,N
19900228,1990-02-28,"February 28, 1990",28,Wednesday,Wed,3,59,9,1990-02-26,1990-03-04,2,February,Feb,1990-02-01,1990-02-28,28,1,Q1,1990-01-01,1990-03-31,1990,1990-02,1990 February,1990-Q1,Y,N,N,Y,N,N,N,N,N
19900301,1990-03-01,"March 01, 1990",1,Thursday,Thu,4,60,9,1990-02-26,1990-03-04,3,March,Mar,1990-03-01,1990-03-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-03,1990 March,1990-Q1,Y,N,Y,N,N,N,N,N,N
19900302,1990-03-02,"March 02, 1990",2,Friday,Fri,5,61,9,1990-02-26,1990-03-04,3,March,Mar,1990-03-01,1990-03-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-03,1990 March,1990-Q1,Y,N,N,N,N,N,N,N,N
19900303,1990-03-03,"March 03, 1990",3,Saturday,Sat,6,62,9,1990-02-26,1990-03-04,3,March,Mar,1990-03-01,1990-03-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-03,1990 March,1990-Q1,N,Y,N,N,N,N,N,N,N
19900304,1990-03-04,"March 04, 1990",4,Sunday,Sun,7,63,9,1990-02-26,1990-03-04,3,March,Mar,1990-03-01,1990-03-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-03,1990 March,1990-Q1,N,Y,N,N,N,N,N,N,N
19900305,1990-03-05,"March 05, 1990",5,Monday,Mon,1,64,10,1990-03-05,1990-03-11,3,March,Mar,1990-03-01,1990-03-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-03,1990 March,1990-Q1,Y,N,N,N,N,N,N,N,N
19900306,1990-03-06,"March 06, 1990",6,Tuesday,Tue,2,65,10,1990-03-05,1990-03-11,3,March,Mar,1990-03-01,1990-03-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-03,1990 March,1990-Q1,Y,N,N,N,N,N,N,N,N
19900307,1990-03-07,"March 07, 1990",7,Wednesday,Wed,3,66,10,1990-03-05,1990-03-11,3,March,Mar,1990-03-01,1990-03-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-03,1990 March,1990-Q1,Y,N,N,N,N,N,N,N,N
19900308,1990-03-08,"March 08, 1990",8,Thursday,Thu,4,67,10,1990-03-05,1990-03-11,3,March,Mar,1990-03-01,1990-03-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-03,1990 March,1990-Q1,Y,N,N,N,N,N,N,N,N
19900309,1990-03-09,"March 09, 1990",9,Friday,Fri,5,68,10,1990-03-05,1990-03-11,3,March,Mar,1990-03-01,1990-03-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-03,1990 March,1990-Q1,Y,N,N,N,N,N,N,N,N
19900310,1990-03-10,"March 10, 1990",10,Saturday,Sat,6,69,10,1990-03-05,1990-03-11,3,March,Mar,1990-03-01,1990-03-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-03,1990 March,1990-Q1,N,Y,N,N,N,N,N,N,N
19900311,1990-03-11,"March 11, 1990",11,Sunday,Sun,7,70,10,1990-03-05,1990-03-11,3,March,Mar,1990-03-01,1990-03-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-03,1990 March,1990-Q1,N,Y,N,N,N,N,N,N,N
19900312,1990-03-12,"March 12, 1990",12,Monday,Mon,1,71,11,1990-03-12,1990-03-18,3,March,Mar,1990-03-01,1990-03-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-03,1990 March,1990-Q1,Y,N,N,N,N,N,N,N,N
19900313,1990-03-13,"March 13, 1990",13,Tuesday,Tue,2,72,11,1990-03-12,1990-03-18,3,March,Mar,1990-03-01,1990-03-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-03,1990 March,1990-Q1,Y,N,N,N,N,N,N,N,N
19900314,1990-03-14,"March 14, 1990",14,Wednesday,Wed,3,73,11,1990-03-12,1990-03-18,3,March,Mar,1990-03-01,1990-03-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-03,1990 March,1990-Q1,Y,N,N,N,N,N,N,N,N
19900315,1990-03-15,"March 15, 1990",15,Thursday,Thu,4,74,11,1990-03-12,1990-03-18,3,March,Mar,1990-03-01,1990-03-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-03,1990 March,1990-Q1,Y,N,N,N,N,N,N,N,N
19900316,1990-03-16,"March 16, 1990",16,Friday,Fri,5,75,11,1990-03-12,1990-03-18,3,March,Mar,1990-03-01,1990-03-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-03,1990 March,1990-Q1,Y,N,N,N,N,N,N,N,N
19900317,1990-03-17,"March 17, 1990",17,Saturday,Sat,6,76,11,1990-03-12,1990-03-18,3,March,Mar,1990-03-01,1990-03-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-03,1990 March,1990-Q1,N,Y,N,N,N,N,N,N,N
19900318,1990-03-18,"March 18, 1990",18,Sunday,Sun,7,77,11,1990-03-12,1990-03-18,3,March,Mar,1990-03-01,1990-03-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-03,1990 March,1990-Q1,N,Y,N,N,N,N,N,N,N
19900319,1990-03-19,"March 19, 1990",19,Monday,Mon,1,78,12,1990-03-19,1990-03-25,3,March,Mar,1990-03-01,1990-03-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-03,1990 March,1990-Q1,Y,N,N,N,N,N,N,N,N
19900320,1990-03-20,"March 20, 1990",20,Tuesday,Tue,2,79,12,1990-03-19,1990-03-25,3,March,Mar,1990-03-01,1990-03-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-03,1990 March,1990-Q1,Y,N,N,N,N,N,N,N,N
19900321,1990-03-21,"March 21, 1990",21,Wednesday,Wed,3,80,12,1990-03-19,1990-03-25,3,March,Mar,1990-03-01,1990-03-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-03,1990 March,1990-Q1,Y,N,N,N,N,N,N,N,N
19900322,1990-03-22,"March 22, 1990",22,Thursday,Thu,4,81,12,1990-03-19,1990-03-25,3,March,Mar,1990-03-01,1990-03-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-03,1990 March,1990-Q1,Y,N,N,N,N,N,N,N,N
19900323,1990-03-23,"March 23, 1990",23,Friday,Fri,5,82,12,1990-03-19,1990-03-25,3,March,Mar,1990-03-01,1990-03-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-03,1990 March,1990-Q1,Y,N,N,N,N,N,N,N,N
19900324,1990-03-24,"March 24, 1990",24,Saturday,Sat,6,83,12,1990-03-19,1990-03-25,3,March,Mar,1990-03-01,1990-03-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-03,1990 March,1990-Q1,N,Y,N,N,N,N,N,N,N
19900325,1990-03-25,"March 25, 1990",25,Sunday,Sun,7,84,12,1990-03-19,1990-03-25,3,March,Mar,1990-03-01,1990-03-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-03,1990 March,1990-Q1,N,Y,N,N,N,N,N,N,N
19900326,1990-03-26,"March 26, 1990",26,Monday,Mon,1,85,13,1990-03-26,1990-04-01,3,March,Mar,1990-03-01,1990-03-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-03,1990 March,1990-Q1,Y,N,N,N,N,N,N,N,N
19900327,1990-03-27,"March 27, 1990",27,Tuesday,Tue,2,86,13,1990-03-26,1990-04-01,3,March,Mar,1990-03-01,1990-03-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-03,1990 March,1990-Q1,Y,N,N,N,N,N,N,N,N
19900328,1990-03-28,"March 28, 1990",28,Wednesday,Wed,3,87,13,1990-03-26,1990-04-01,3,March,Mar,1990-03-01,1990-03-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-03,1990 March,1990-Q1,Y,N,N,N,N,N,N,N,N
19900329,1990-03-29,"March 29, 1990",29,Thursday,Thu,4,88,13,1990-03-26,1990-04-01,3,March,Mar,1990-03-01,1990-03-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-03,1990 March,1990-Q1,Y,N,N,N,N,N,N,N,N
19900330,1990-03-30,"March 30, 1990",30,Friday,Fri,5,89,13,1990-03-26,1990-04-01,3,March,Mar,1990-03-01,1990-03-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-03,1990 March,1990-Q1,Y,N,N,N,N,N,N,N,N
19900331,1990-03-31,"March 31, 1990",31,Saturday,Sat,6,90,13,1990-03-26,1990-04-01,3,March,Mar,1990-03-01,1990-03-31,31,1,Q1,1990-01-01,1990-03-31,1990,1990-03,1990 March,1990-Q1,N,Y,N,Y,N,Y,N,N,N
19900401,1990-04-01,"April 01, 1990",1,Sunday,Sun,7,91,13,1990-03-26,1990-04-01,4,April,Apr,1990-04-01,1990-04-30,30,2,Q2,1990-04-01,1990-06-30,1990,1990-04,1990 April,1990-Q2,N,Y,Y,N,Y,N,N,N,N
19900402,1990-04-02,"April 02, 1990",2,Monday,Mon,1,92,14,1990-04-02,1990-04-08,4,April,Apr,1990-04-01,1990-04-30,30,2,Q2,1990-04-01,1990-06-30,1990,1990-04,1990 April,1990-Q2,Y,N,N,N,N,N,N,N,N
19900403,1990-04-03,"April 03, 1990",3,Tuesday,Tue,2,93,14,1990-04-02,1990-04-08,4,April,Apr,1990-04-01,1990-04-30,30,2,Q2,1990-04-01,1990-06-30,1990,1990-04,1990 April,1990-Q2,Y,N,N,N,N,N,N,N,N
19900404,1990-04-04,"April 04, 1990",4,Wednesday,Wed,3,94,14,1990-04-02,1990-04-08,4,April,Apr,1990-04-01,1990-04-30,30,2,Q2,1990-04-01,1990-06-30,1990,1990-04,1990 April,1990-Q2,Y,N,N,N,N,N,N,N,N
19900405,1990-04-05,"April 05, 1990",5,Thursday,Thu,4,95,14,1990-04-02,1990-04-08,4,April,Apr,1990-04-01,1990-04-30,30,2,Q2,1990-04-01,1990-06-30,1990,1990-04,1990 April,1990-Q2,Y,N,N,N,N,N,N,N,N
19900406,1990-04-06,"April 06, 1990",6,Friday,Fri,5,96,14,1990-04-02,1990-04-08,4,April,Apr,1990-04-01,1990-04-30,30,2,Q2,1990-04-01,1990-06-30,1990,1990-04,1990 April,1990-Q2,Y,N,N,N,N,N,N,N,N
19900407,1990-04-07,"April 07, 1990",7,Saturday,Sat,6,97,14,1990-04-02,1990-04-08,4,April,Apr,1990-04-01,1990-04-30,30,2,Q2,1990-04-01,1990-06-30,1990,1990-04,1990 April,1990-Q2,N,Y,N,N,N,N,N,N,N
19900408,1990-04-08,"April 08, 1990",8,Sunday,Sun,7,98,14,1990-04-02,1990-04-08,4,April,Apr,1990-04-01,1990-04-30,30,2,Q2,1990-04-01,1990-06-30,1990,1990-04,1990 April,1990-Q2,N,Y,N,N,N,N,N,N,N
